academia_1,rede_1,cidade_1,estado_1,academia_2,rede_2,cidade_2,estado_2,distancia_km
São José dos Campos - Aquarius,Bluefit,São José dos Campos,São Paulo,Aquarius,Smartfit,São José dos Campos,São Paulo,0.886
Mogi das Cruzes,Bluefit,Mogi das Cruzes,São Paulo,Av. Vereador Narciso,Smartfit,Mogi das Cruzes,São Paulo,0.436
Savassi Mall,Bluefit,Belo Horizonte,Minas Gerais,SAVASSI,BodyTech,Belo Horizonte,Minas Gerais,0.882
Savassi Mall,Bluefit,Belo Horizonte,Minas Gerais,Avenida Prudente de Morais,Smartfit,Belo Horizonte,Minas Gerais,0.959
Savassi Mall,Bluefit,Belo Horizonte,Minas Gerais,Savassi,Smartfit,Belo Horizonte,Minas Gerais,0.241
Savassi Mall,Bluefit,Belo Horizonte,Minas Gerais,Rua Rio de Janeiro,Smartfit,Belo Horizonte,Minas Gerais,0.974
Palmares,Bluefit,Belo Horizonte,Minas Gerais,Fernão Dias,Pratique Fitness,Belo Horizonte,Minas Gerais,0.749
Palmares,Bluefit,Belo Horizonte,Minas Gerais,Minas Shopping,Smartfit,Belo Horizonte,Minas Gerais,0.45
Santos 3,Bluefit,Santos,São Paulo,Embaré,Smartfit,Santos,São Paulo,0.535
Santos 1,Bluefit,Santos,São Paulo,Shopping Pátio Iporanga,Bluefit,Santos,São Paulo,0.976
Santos 1,Bluefit,Santos,São Paulo,BOQUEIRÃO,Panobianco,Santos,São Paulo,0.46
Santos 2,Bluefit,Santos,São Paulo,Shopping Pátio Iporanga,Bluefit,Santos,São Paulo,0.51
Santos 2,Bluefit,Santos,São Paulo,Ana Costa 1,Smartfit,Santos,São Paulo,0.195
Shopping Pátio Iporanga,Bluefit,Santos,São Paulo,Assaí Ana Costa,Smartfit,Santos,São Paulo,0.666
Shopping Pátio Iporanga,Bluefit,Santos,São Paulo,Ana Costa 1,Smartfit,Santos,São Paulo,0.446
Tambores,Bluefit,São Vicente,São Paulo,SÃO VICENTE EMMERICH,Panobianco,São Vicente,São Paulo,0.16
São Vicente,Bluefit,São Vicente,São Paulo,Avenida Presidente Wilson,Smartfit,São Vicente,São Paulo,0.283
São Vicente,Bluefit,São Vicente,São Paulo,SÃO VICENTE CENTRO,Panobianco,São Vicente,São Paulo,0.549
Aricanduva,Bluefit,São Paulo,São Paulo,Rio das Pedras,Smartfit,São Paulo,São Paulo,0.284
Aricanduva,Bluefit,São Paulo,São Paulo,VILA ANTONIETA,Panobianco,São Paulo,São Paulo,0.553
Vila Galvão,Bluefit,Guarulhos,São Paulo,SANTA MENA,Panobianco,Guarulhos,São Paulo,0.772
Praia Grande,Bluefit,Praia Grande,São Paulo,Canto do Forte,Bluefit,Praia Grande,São Paulo,0.715
Praia Grande,Bluefit,Praia Grande,São Paulo,Pres. Costa e Silva,Smartfit,Praia Grande,São Paulo,0.277
Praia Grande,Bluefit,Praia Grande,São Paulo,CANTO DO FORTE – PRAIA GRANDE (SP),Skyfit,Praia Grande,São Paulo,0.447
Praia Grande,Bluefit,Praia Grande,São Paulo,PARIS,Panobianco,Praia Grande,São Paulo,0.534
Canto do Forte,Bluefit,Praia Grande,São Paulo,Litoral Plaza,Smartfit,Praia Grande,São Paulo,0.938
Canto do Forte,Bluefit,Praia Grande,São Paulo,Pres. Costa e Silva,Smartfit,Praia Grande,São Paulo,0.507
Canto do Forte,Bluefit,Praia Grande,São Paulo,CANTO DO FORTE – PRAIA GRANDE (SP),Skyfit,Praia Grande,São Paulo,0.281
Canto do Forte,Bluefit,Praia Grande,São Paulo,PARIS,Panobianco,Praia Grande,São Paulo,0.185
Anália Franco,Bluefit,São Paulo,São Paulo,Bom Parto,Smartfit,São Paulo,São Paulo,0.877
Anália Franco,Bluefit,São Paulo,São Paulo,Tatuapé,Smartfit,São Paulo,São Paulo,0.662
Fernando Prestes,Bluefit,Santo André,São Paulo,CAMPESTRE,Panobianco,Santo André,São Paulo,0.9
São Caetano,Bluefit,Santo André,São Paulo,UTINGA (SP),Skyfit,Santo André,São Paulo,0.933
São Caetano,Bluefit,Santo André,São Paulo,BARCELONA,Panobianco,São Caetano do Sul,São Paulo,0.414
Atlântica,Bluefit,Santo André,São Paulo,Príncipe de Gales,Smartfit,Santo André,São Paulo,0.771
Marechal,Bluefit,São Bernardo do Campo,São Paulo,Av. Prestes Maia,Smartfit,São Bernardo do Campo,São Paulo,0.401
Marechal,Bluefit,São Bernardo do Campo,São Paulo,Rua João Pessoa,Smartfit,São Bernardo do Campo,São Paulo,0.709
Tremembé,Bluefit,São Paulo,São Paulo,TREMEMBÉ,Panobianco,São Paulo,São Paulo,0.805
Santana,Bluefit,São Paulo,São Paulo,Água Fria,Smartfit,São Paulo,São Paulo,0.893
Santana,Bluefit,São Paulo,São Paulo,Av. Nova Cantareira,Smartfit,São Paulo,São Paulo,0.123
Tancredo,Bluefit,São Paulo,São Paulo,Sacomã,Smartfit,São Paulo,São Paulo,0.509
Alfredo Pujol,Bluefit,São Paulo,São Paulo,SANTANA,Panobianco,São Paulo,São Paulo,0.353
Centro 2,Bluefit,São Paulo,São Paulo,Shopping Light,Smartfit,São Paulo,São Paulo,0.74
Centro 2,Bluefit,São Paulo,São Paulo,Anhangabaú,Smartfit,São Paulo,São Paulo,0.919
Centro 2,Bluefit,São Paulo,São Paulo,Av. Ipiranga,Smartfit,São Paulo,São Paulo,0.305
Centro 2,Bluefit,São Paulo,São Paulo,REPÚBLICA,Panobianco,São Paulo,São Paulo,0.344
Maria Antônia,Bluefit,São Paulo,São Paulo,Centro 1,Bluefit,São Paulo,São Paulo,0.743
Maria Antônia,Bluefit,São Paulo,São Paulo,FREI CANECA,BodyTech,São Paulo,São Paulo,0.799
Maria Antônia,Bluefit,São Paulo,São Paulo,Baixo Augusta,Smartfit,São Paulo,São Paulo,0.948
Maria Antônia,Bluefit,São Paulo,São Paulo,Bela Vista II,Smartfit,São Paulo,São Paulo,0.862
Maria Antônia,Bluefit,São Paulo,São Paulo,Santa Cecília,Smartfit,São Paulo,São Paulo,0.972
Centro 1,Bluefit,São Paulo,São Paulo,FREI CANECA,BodyTech,São Paulo,São Paulo,0.837
Centro 1,Bluefit,São Paulo,São Paulo,Bela Vista II,Smartfit,São Paulo,São Paulo,0.78
Centro 1,Bluefit,São Paulo,São Paulo,Shopping Light,Smartfit,São Paulo,São Paulo,0.71
Centro 1,Bluefit,São Paulo,São Paulo,REPÚBLICA,Panobianco,São Paulo,São Paulo,0.928
Diadema,Bluefit,Diadema,São Paulo,Shopping Praça da Moça,Smartfit,Diadema,São Paulo,0.263
Diadema,Bluefit,Diadema,São Paulo,DIADEMA (SP),Skyfit,Diadema,São Paulo,0.399
Perdizes,Bluefit,São Paulo,São Paulo,Higienópolis,Smartfit,São Paulo,São Paulo,0.757
Perdizes,Bluefit,São Paulo,São Paulo,Barra Funda,Smartfit,São Paulo,São Paulo,0.614
Frei Caneca,Bluefit,São Paulo,São Paulo,FREI CANECA,BodyTech,São Paulo,São Paulo,0.587
Frei Caneca,Bluefit,São Paulo,São Paulo,JARDINS - CONSOLAÇÃO,BodyTech,São Paulo,São Paulo,0.974
Frei Caneca,Bluefit,São Paulo,São Paulo,Augusta,Smartfit,São Paulo,São Paulo,0.203
Frei Caneca,Bluefit,São Paulo,São Paulo,Avenida Angélica,Smartfit,São Paulo,São Paulo,0.658
Frei Caneca,Bluefit,São Paulo,São Paulo,Baixo Augusta,Smartfit,São Paulo,São Paulo,0.387
Frei Caneca,Bluefit,São Paulo,São Paulo,Alameda Santos,Smartfit,São Paulo,São Paulo,0.82
Frei Caneca,Bluefit,São Paulo,São Paulo,Bela Vista II,Smartfit,São Paulo,São Paulo,0.621
Saúde,Bluefit,São Paulo,São Paulo,Mirandópolis,Smartfit,São Paulo,São Paulo,0.751
Saúde,Bluefit,São Paulo,São Paulo,SAÚDE,Panobianco,São Paulo,São Paulo,0.571
Pinheiros,Bluefit,São Paulo,São Paulo,Teodoro Sampaio,Smartfit,São Paulo,São Paulo,0.95
Hélio Pellegrino,Bluefit,São Paulo,São Paulo,ARAPANÉS,Selfit,São Paulo,São Paulo,0.998
Hélio Pellegrino,Bluefit,São Paulo,São Paulo,Clodomiro Amazonas II,Smartfit,São Paulo,São Paulo,0.908
Hélio Pellegrino,Bluefit,São Paulo,São Paulo,Canário,Smartfit,São Paulo,São Paulo,0.588
Hélio Pellegrino,Bluefit,São Paulo,São Paulo,Bem-te-vi,Smartfit,São Paulo,São Paulo,0.907
Vila Olímpia,Bluefit,São Paulo,São Paulo,COMPLEXO JK,BodyTech,São Paulo,São Paulo,0.917
Vila Olímpia,Bluefit,São Paulo,São Paulo,Gomes de Carvalho,Smartfit,São Paulo,São Paulo,0.324
Brooklin,Bluefit,São Paulo,São Paulo,MORUMBI - MARKET PLACE,BodyTech,São Paulo,São Paulo,0.504
Leopoldina,Bluefit,São Paulo,São Paulo,Imperatriz Leopoldina,Smartfit,São Paulo,São Paulo,0.321
Leopoldina,Bluefit,São Paulo,São Paulo,Guaipá,Smartfit,São Paulo,São Paulo,0.912
Butantã,Bluefit,São Paulo,São Paulo,Av. Prof. Francisco Morato,Smartfit,São Paulo,São Paulo,0.142
Butantã,Bluefit,São Paulo,São Paulo,Butantã Shopping,Smartfit,São Paulo,São Paulo,0.62
Shopping Continental,Bluefit,São Paulo,São Paulo,Pátio Osasco,Smartfit,Osasco,São Paulo,0.733
Osasco,Bluefit,Osasco,São Paulo,União Osasco,Smartfit,Osasco,São Paulo,0.833
Osasco,Bluefit,Osasco,São Paulo,Primitiva,Smartfit,Osasco,São Paulo,0.755
Osasco,Bluefit,Osasco,São Paulo,VILA YARA – OSASCO (SP),Skyfit,Osasco,São Paulo,0.517
KM 18,Bluefit,Osasco,São Paulo,Osasco KM 18,Smartfit,Osasco,São Paulo,0.573
KM 18,Bluefit,Osasco,São Paulo,KM18 – OSASCO (SP),Skyfit,Osasco,São Paulo,0.634
Novo Osasco,Bluefit,Osasco,São Paulo,VELOSO,Panobianco,Osasco,São Paulo,0.769
XV de Novembro,Bluefit,Jundiaí,São Paulo,Leroy Jundiaí,Smartfit,Jundiaí,São Paulo,0.857
Carapicuíba,Bluefit,Carapicuíba,São Paulo,Vila Dirce,Smartfit,Carapicuíba,São Paulo,0.242
Granja Viana,Bluefit,Cotia,São Paulo,GRANJA VIANA – CARAPICUIBA (SP),Skyfit,Carapicuíba,São Paulo,0.795
Av. 9 de Julho,Bluefit,Jundiaí,São Paulo,Jundiaí Shopping,Smartfit,Jundiaí,São Paulo,0.551
Cotia,Bluefit,Cotia,São Paulo,COTIA,Panobianco,Cotia,São Paulo,0.136
Sumaré,Bluefit,Sumaré,São Paulo,JATOBÁ (SP),Skyfit,Sumaré,São Paulo,0.917
Sumaré,Bluefit,Sumaré,São Paulo,SUMARÉ (SP),Skyfit,Sumaré,São Paulo,0.901
Sumaré,Bluefit,Sumaré,São Paulo,SUMARÉ CENTRO,Panobianco,Sumaré,São Paulo,0.7
Av. Moreira César,Bluefit,Sorocaba,São Paulo,SOROCABA – SHOP PANORÂMICO (SP),Skyfit,Sorocaba,São Paulo,0.535
Campolim 1,Bluefit,Sorocaba,São Paulo,IGUATEMI ESPLANADA,BodyTech,Votorantim,São Paulo,0.486
São Carlos,Bluefit,São Carlos,São Paulo,SÃO CARLOS (SP),Skyfit,São Carlos,São Paulo,0.33
Apogeo,Bluefit,Ribeirão Preto,São Paulo,PRESIDENTE VARGAS,Selfit,Ribeirão Preto,São Paulo,0.738
Apogeo,Bluefit,Ribeirão Preto,São Paulo,Trio,Smartfit,Ribeirão Preto,São Paulo,0.299
Campos Elíseos - Pré Venda,Bluefit,Ribeirão Preto,São Paulo,RIBEIRÃO PRETO (SP),Skyfit,Ribeirão Preto,São Paulo,0.642
Bauru,Bluefit,Bauru,São Paulo,Av. Getúlio Vargas I,Smartfit,Bauru,São Paulo,0.915
Andaló,Bluefit,São José do Rio Preto,São Paulo,SJ RIO PRETO CENTRO,Panobianco,São José do Rio Preto,São Paulo,0.814
Curitiba - Centro,Bluefit,Curitiba,Paraná,Batel,Bluefit,Curitiba,Paraná,0.842
Curitiba - Centro,Bluefit,Curitiba,Paraná,SHOPPING CRYSTAL,BodyTech,Curitiba,Paraná,0.303
Curitiba - Centro,Bluefit,Curitiba,Paraná,Shopping Curitiba,Smartfit,Curitiba,Paraná,0.37
Batel,Bluefit,Curitiba,Paraná,SHOPPING CRYSTAL,BodyTech,Curitiba,Paraná,0.633
Batel,Bluefit,Curitiba,Paraná,Shopping Curitiba,Smartfit,Curitiba,Paraná,0.714
Portão,Bluefit,Curitiba,Paraná,Palladium,Bluefit,Curitiba,Paraná,0.887
Joinville,Bluefit,Joinville,Santa Catarina,Bucarein,Smartfit,Joinville,Santa Catarina,0.968
Marília,Bluefit,Marília,São Paulo,MARÍLIA (SP),Skyfit,Marília,São Paulo,0.019
Gama,Bluefit,Brasília,Distrito Federal,Planaltina,Bluefit,Brasília,Distrito Federal,0.0
Gama,Bluefit,Brasília,Distrito Federal,Sobradinho Central,Smartfit,Brasília,Distrito Federal,0.009
Gama,Bluefit,Brasília,Distrito Federal,PLANALTINA – BRASÍLIA (DF),Skyfit,Brasília,Distrito Federal,0.009
Formosa,Bluefit,Formosa,Goiás,FORMOSA (GO),Skyfit,Formosa,Goiás,0.15
Lago,Bluefit,Brasília,Distrito Federal,LAGO SUL - SET. CLUBES,BodyTech,Brasília,Distrito Federal,0.0
513 SUL,Bluefit,Brasília,Distrito Federal,ASA SUL,BodyTech,Brasília,Distrito Federal,0.627
513 SUL,Bluefit,Brasília,Distrito Federal,Dom Bosco,Smartfit,Brasília,Federal District,0.977
502 Sul,Bluefit,Brasília,Distrito Federal,Venâncio Shopping,Smartfit,Brasília,Distrito Federal,0.668
Guará,Bluefit,Brasília,Distrito Federal,Guará II Unidade 2,Smartfit,Brasília,Distrito Federal,0.0
Guará,Bluefit,Brasília,Distrito Federal,Guará II Unidade 3,Smartfit,Brasília,Distrito Federal,0.666
Asa Norte,Bluefit,Brasília,Distrito Federal,Shopping ID,Smartfit,Brasília,Distrito Federal,0.465
Águas Claras,Bluefit,Brasília,Distrito Federal,Águas Claras III,Bluefit,Brasília,Distrito Federal,0.592
Águas Claras,Bluefit,Brasília,Distrito Federal,Águas Claras IV,Smartfit,Brasília,Distrito Federal,0.538
Águas Claras,Bluefit,Brasília,Distrito Federal,DF Plaza Shopping,Smartfit,Brasília,Distrito Federal,0.876
Planaltina,Bluefit,Brasília,Distrito Federal,Sobradinho Central,Smartfit,Brasília,Distrito Federal,0.009
Planaltina,Bluefit,Brasília,Distrito Federal,PLANALTINA – BRASÍLIA (DF),Skyfit,Brasília,Distrito Federal,0.009
Águas Claras II,Bluefit,Brasília,Distrito Federal,Manhattan Shopping,Smartfit,Brasília,Distrito Federal,0.994
Águas Claras II,Bluefit,Brasília,Distrito Federal,Águas Claras VI - Rua Manacá,Smartfit,Brasília,Distrito Federal,0.562
Águas Claras II,Bluefit,Brasília,Distrito Federal,Águas Claras I,Smartfit,Brasília,Distrito Federal,0.459
Águas Claras II,Bluefit,Brasília,Distrito Federal,Águas Claras V,Smartfit,Brasília,Distrito Federal,0.352
Taguatinga Sul,Bluefit,Brasília,Distrito Federal,Atacadão Taguatinga Sul,Smartfit,Brasília,Distrito Federal,0.643
Samambaia,Bluefit,Brasília,Distrito Federal,Samambaia IV,Smartfit,Brasília,Distrito Federal,0.653
Alto da Glória,Bluefit,Goiânia,Goiás,VILA PEDROSO (GO),Skyfit,Goiânia,Goiás,0.608
Alto Bueno T4,Bluefit,Goiânia,Goiás,Av. 85,Bluefit,Goiânia,Goiás,0.314
Alto Bueno T4,Bluefit,Goiânia,Goiás,Goiânia Alto Bueno,Smartfit,Goiânia,Goiás,0.0
Alto Bueno T4,Bluefit,Goiânia,Goiás,GOIÂNIA 3 – AV T-63 (GO),Skyfit,Goiânia,Goiás,0.693
Asa Norte 516,Bluefit,Brasília,Distrito Federal,ASA NORTE,BodyTech,Brasília,Distrito Federal,0.692
Asa Norte 516,Bluefit,Brasília,Distrito Federal,712 Norte,Smartfit,Brasília,Distrito Federal,0.413
Jardim Goiás,Bluefit,Goiânia,Goiás,Flamboyant,Smartfit,Goiânia,Goiás,0.785
Taguatinga,Bluefit,Brasília,Distrito Federal,Taguatinga Norte,Smartfit,Brasília,Distrito Federal,0.822
Taguatinga,Bluefit,Brasília,Distrito Federal,Brazlândia,Smartfit,Brasília,Distrito Federal,0.544
Av. 85,Bluefit,Goiânia,Goiás,Goiânia Alto Bueno,Smartfit,Goiânia,Goiás,0.314
Av. 85,Bluefit,Goiânia,Goiás,GOIÂNIA 3 – AV T-63 (GO),Skyfit,Goiânia,Goiás,0.988
T8,Bluefit,Goiânia,Goiás,Goiânia Baixo Bueno,Smartfit,Goiânia,Goiás,0.906
Praça do Sol,Bluefit,Goiânia,Goiás,República do Líbano,Bluefit,Goiânia,Goiás,0.771
Praça do Sol,Bluefit,Goiânia,Goiás,MARISTA,BodyTech,Goiânia,Goiás,0.784
Praça do Sol,Bluefit,Goiânia,Goiás,Setor Oeste,Smartfit,Goiânia,Goiás,0.708
República do Líbano,Bluefit,Goiânia,Goiás,Setor Oeste,Smartfit,Goiânia,Goiás,0.068
República do Líbano,Bluefit,Goiânia,Goiás,SETOR OESTE,Panobianco,Goiânia,Goiás,0.34
Setor Coimbra,Bluefit,Goiânia,Goiás,Goiânia Baixo Bueno,Smartfit,Goiânia,Goiás,0.308
Estação da Moda,Bluefit,Goiânia,Goiás,MEGA POLO,Panobianco,Goiânia,Goiás,0.984
Av. Milão,Bluefit,Goiânia,Goiás,Goiânia Eldorado,Smartfit,Goiânia,Goiás,0.082
Ceilândia,Bluefit,Brasília,Distrito Federal,Ceilândia Norte,Smartfit,Brasília,Distrito Federal,0.327
Av. Universitária,Bluefit,Anápolis,Goiás,ANÁPOLIS (GO),Skyfit,Anápolis,Goiás,0.311
Cidade Rio Verde,Bluefit,Rio Verde,Goiás,Havan Rio Verde,Smartfit,Rio Verde,Goiás,0.0
Graça,Bluefit,Salvador,Bahia,BARRA (CHAME-CHAME),Selfit,Salvador,Bahia,0.851
Caminho das Árvores,Bluefit,Salvador,Bahia,CAMINHO DAS ÁRVORES,Selfit,Salvador,Bahia,0.791
Caminho das Árvores,Bluefit,Salvador,Bahia,ILHÉUS,Selfit,Salvador,Bahia,0.291
Caminho das Árvores,Bluefit,Salvador,Bahia,SHOPPING DA BAHIA,BodyTech,Salvador,Bahia,0.817
Caminho das Árvores,Bluefit,Salvador,Bahia,Salvador Shopping,Smartfit,Salvador,Bahia,0.133
Barreiras,Bluefit,Barreiras,Bahia,BARREIRAS,Selfit,Barreiras,Bahia,0.941
Palmas Sul,Bluefit,Palmas,Tocantins,PALMAS SUL (TO),Skyfit,Palmas,Tocantins,0.509
Av. CPA,Bluefit,Cuiabá,Mato Grosso,PANTANAL SHOPPING,BodyTech,Cuiabá,Mato Grosso,0.483
Santa Rosa,Bluefit,Cuiabá,Mato Grosso,ESTAÇÃO CUIABÁ,Selfit,Cuiabá,Mato Grosso,0.722
Santa Rosa,Bluefit,Cuiabá,Mato Grosso,GOIABEIRAS SHOPPING,BodyTech,Cuiabá,Mato Grosso,0.372
Maceió,Bluefit,Maceió,Alagoas,PONTA VERDE,Selfit,Maceió,Alagoas,0.773
Maceió,Bluefit,Maceió,Alagoas,Ponta Verde,Smartfit,Maceió,Alagoas,0.413
Campina Grande,Bluefit,Campina Grande,Paraíba,CAMPINA GRANDE,Selfit,Campina Grande,Paraíba,0.741
Epitacio Pessoa,Bluefit,João Pessoa,Paraíba,TIMON,Selfit,João Pessoa,Paraíba,0.545
Epitacio Pessoa,Bluefit,João Pessoa,Paraíba,Epitácio,Smartfit,João Pessoa,Paraíba,0.717
Tambaú Orla,Bluefit,João Pessoa,Paraíba,Tambaú,Smartfit,João Pessoa,Paraíba,0.782
Manaíra - Liv Mall,Bluefit,João Pessoa,Paraíba,MAG SHOPPING,Selfit,João Pessoa,Paraíba,0.516
Manaíra - Liv Mall,Bluefit,João Pessoa,Paraíba,Manaíra Shopping,Smartfit,João Pessoa,Paraíba,0.67
Aldeota,Bluefit,Fortaleza,Ceará,SCOPA PLATINUM,Selfit,Fortaleza,Ceará,0.666
Aldeota,Bluefit,Fortaleza,Ceará,Rui Barbosa,Smartfit,Fortaleza,Ceará,0.969
Aldeota,Bluefit,Fortaleza,Ceará,Vicente Linhares,Smartfit,Fortaleza,Ceará,0.465
Aldeota,Bluefit,Fortaleza,Ceará,José Lourenço,Smartfit,Fortaleza,Ceará,0.733
Varanda,Bluefit,Fortaleza,Ceará,ALDEOTA,Selfit,Fortaleza,Ceará,0.65
Varanda,Bluefit,Fortaleza,Ceará,PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,0.255
Varanda,Bluefit,Fortaleza,Ceará,Barbosa de Freitas,Smartfit,Fortaleza,Ceará,0.631
Varanda,Bluefit,Fortaleza,Ceará,Santos Dumont,Smartfit,Fortaleza,Ceará,0.594
Varanda,Bluefit,Fortaleza,Ceará,Meireles,Smartfit,Fortaleza,Ceará,0.417
Batista Campos,Bluefit,Belém,Pará,NAZARÉ,Selfit,Nazaré,Leiria District,0.981
Batista Campos,Bluefit,Belém,Pará,Pátio Belém,Smartfit,Belém,Pará,0.28
Doca,Bluefit,Belém,Pará,ASSIS,Selfit,Belém,Pará,0.635
Doca,Bluefit,Belém,Pará,NAZARÉ,Selfit,Nazaré,Leiria District,0.994
Doca,Bluefit,Belém,Pará,Boulevard,Smartfit,Belém,Pará,0.439
Cidade Nova,Bluefit,Belo Horizonte,Minas Gerais,Nova Floresta,Pratique Fitness,Belo Horizonte,Minas Gerais,0.893
Cidade Nova,Bluefit,Belo Horizonte,Minas Gerais,Supernosso Cidade Nova,Smartfit,Belo Horizonte,Minas Gerais,0.289
Augusto Montenegro,Bluefit,Belém,Pará,AUGUSTO MONTENEGRO – BELÉM (PA),Skyfit,Belém,Pará,0.351
Adrianópolis - pré venda,Bluefit,Manaus,Amazonas,GLICÉRIO,Selfit,Manaus,Amazonas,0.944
Adrianópolis - pré venda,Bluefit,Manaus,Amazonas,VIEIRALVES,Selfit,Manaus,Amazonas,0.862
Adrianópolis - pré venda,Bluefit,Manaus,Amazonas,Jardim Amazonas,Smartfit,Manaus,Amazonas,0.866
Av. Darcy Vargas,Bluefit,Manaus,Amazonas,MANAUS PLAZA SHOPPING,Selfit,Manaus,Amazonas,0.484
Av. Darcy Vargas,Bluefit,Manaus,Amazonas,Amazonas Shopping,Smartfit,Manaus,Amazonas,0.173
Village,Bluefit,Rio Branco,Acre,Isaura Parente,Smartfit,Rio Branco,Acre,0.658
ALDEOTA,Selfit,Fortaleza,Ceará,PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,0.799
ALDEOTA,Selfit,Fortaleza,Ceará,Dionísio Torres,Smartfit,Fortaleza,Ceará,0.71
ALDEOTA,Selfit,Fortaleza,Ceará,Vicente Linhares,Smartfit,Fortaleza,Ceará,0.872
ALDEOTA,Selfit,Fortaleza,Ceará,Barbosa de Freitas,Smartfit,Fortaleza,Ceará,0.283
ALDEOTA,Selfit,Fortaleza,Ceará,Santos Dumont,Smartfit,Fortaleza,Ceará,0.793
ANANINDEUA,Selfit,Ananindeua,Pará,Mario Covas,Smartfit,Belém,Pará,0.273
ANANINDEUA,Selfit,Ananindeua,Pará,ANANINDEUA – PA,Panobianco,Ananindeua,Pará,0.746
ANTÔNIO BASÍLIO,Selfit,Natal,Rio Grande do Norte,Lagoa Nova,Smartfit,Natal,Rio Grande do Norte,0.935
ARAPANÉS,Selfit,São Paulo,São Paulo,Canário,Smartfit,São Paulo,São Paulo,0.432
ARAPANÉS,Selfit,São Paulo,São Paulo,Jamaris,Smartfit,São Paulo,São Paulo,0.534
ARAPANÉS,Selfit,São Paulo,São Paulo,Bem-te-vi,Smartfit,São Paulo,São Paulo,0.645
ARAPANÉS,Selfit,São Paulo,São Paulo,Maracatins,Smartfit,São Paulo,São Paulo,0.799
ARCOVERDE,Selfit,Recife,Pernambuco,CASA AMARELA,Selfit,Recife,Pernambuco,0.406
ARCOVERDE,Selfit,Recife,Pernambuco,TAMARINEIRA,Selfit,Recife,Pernambuco,0.323
ARCOVERDE,Selfit,Recife,Pernambuco,Torre,Smartfit,Recife,Pernambuco,0.772
ARCOVERDE,Selfit,Recife,Pernambuco,Desembargador Góis Cavalcante,Smartfit,Recife,Pernambuco,0.446
ARCOVERDE,Selfit,Recife,Pernambuco,Aflitos,Smartfit,Recife,Pernambuco,0.594
ARENA DAS DUNAS,Selfit,Natal,Rio Grande do Norte,LAGOA NOVA II,Selfit,Natal,Rio Grande do Norte,0.5
ARIRIZAL,Selfit,São Luís,Maranhão,SHOPPING DA ILHA,BodyTech,São Luís,Maranhão,0.368
ARIRIZAL,Selfit,São Luís,Maranhão,Cohama,Smartfit,São Luís,Maranhão,0.429
ASSIS,Selfit,Belém,Pará,NAZARÉ,Selfit,Nazaré,Leiria District,0.815
ASSIS,Selfit,Belém,Pará,Boulevard,Smartfit,Belém,Pará,0.684
ATRÁS DA BANCA,Selfit,Petrolina,Pernambuco,PETROLINA (PE),Skyfit,Petrolina,State of Pernambuco,0.558
